"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 22 14:14:29 GMT 2024","Sat Jun 22 14:14:29 GMT 2024","716","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with empty status",""
"passed","Sat Jun 22 14:14:31 GMT 2024","Sat Jun 22 14:14:32 GMT 2024","811","","users.spec.ts","Users test","","","Get user details",""
"failed","Sat Jun 22 14:14:30 GMT 2024","Sat Jun 22 14:14:31 GMT 2024","839","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Update only 1 user field using put method",""
"passed","Sat Jun 22 14:14:32 GMT 2024","Sat Jun 22 14:14:33 GMT 2024","1396","","users.spec.ts","Users test","","","Retrieves user posts when user has some posts",""
"passed","Sat Jun 22 14:14:29 GMT 2024","Sat Jun 22 14:14:29 GMT 2024","723","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with empty email",""
"passed","Sat Jun 22 14:14:29 GMT 2024","Sat Jun 22 14:14:30 GMT 2024","398","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with sdsd,sdsd status",""
"passed","Sat Jun 22 14:14:30 GMT 2024","Sat Jun 22 14:14:31 GMT 2024","519","","schemaValidations.spec.ts","Schema validation tests","","","Comments schema validation",""
"passed","Sat Jun 22 14:14:28 GMT 2024","Sat Jun 22 14:14:29 GMT 2024","615","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with wrong email: 1223",""
"passed","Sat Jun 22 14:14:30 GMT 2024","Sat Jun 22 14:14:31 GMT 2024","453","","schemaValidations.spec.ts","Schema validation tests","","","Posts schema validation",""
"passed","Sat Jun 22 14:14:31 GMT 2024","Sat Jun 22 14:14:32 GMT 2024","885","","users.spec.ts","Users test","","","Create user post",""
"passed","Sat Jun 22 14:14:31 GMT 2024","Sat Jun 22 14:14:32 GMT 2024","881","","users.spec.ts","Users test","","","Update full user details",""
"passed","Sat Jun 22 14:14:29 GMT 2024","Sat Jun 22 14:14:29 GMT 2024","753","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with empty name",""
"passed","Sat Jun 22 14:14:30 GMT 2024","Sat Jun 22 14:14:31 GMT 2024","1446","","posts.spec.ts","Posts test","","","Create post comments",""
"passed","Sat Jun 22 14:14:32 GMT 2024","Sat Jun 22 14:14:32 GMT 2024","871","","users.spec.ts","Users test","","","Create user todo",""
"passed","Sat Jun 22 14:14:30 GMT 2024","Sat Jun 22 14:14:30 GMT 2024","380","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with   gender",""
"passed","Sat Jun 22 14:14:32 GMT 2024","Sat Jun 22 14:14:33 GMT 2024","874","","users.spec.ts","Users test","","","Retrieves user posts when user does not have any posts",""
"passed","Sat Jun 22 14:14:31 GMT 2024","Sat Jun 22 14:14:31 GMT 2024","507","","schemaValidations.spec.ts","Schema validation tests","","","Todos schema validation",""
"passed","Sat Jun 22 14:14:29 GMT 2024","Sat Jun 22 14:14:29 GMT 2024","408","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with Alice status",""
"passed","Sat Jun 22 14:14:30 GMT 2024","Sat Jun 22 14:14:30 GMT 2024","337","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Get  details of not existing user",""
"passed","Sat Jun 22 14:14:30 GMT 2024","Sat Jun 22 14:14:30 GMT 2024","422","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Retrieve posts when user does not exist",""
"passed","Sat Jun 22 14:14:32 GMT 2024","Sat Jun 22 14:14:33 GMT 2024","938","","users.spec.ts","Users test","","","Delete user",""
"passed","Sat Jun 22 14:14:29 GMT 2024","Sat Jun 22 14:14:30 GMT 2024","373","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with 1223 gender",""
"passed","Sat Jun 22 14:14:29 GMT 2024","Sat Jun 22 14:14:30 GMT 2024","356","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with 1223 status",""
"passed","Sat Jun 22 14:14:31 GMT 2024","Sat Jun 22 14:14:32 GMT 2024","870","","users.spec.ts","Users test","","","Update only 1 user field",""
"passed","Sat Jun 22 14:14:30 GMT 2024","Sat Jun 22 14:14:30 GMT 2024","386","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Delete not existing user",""
"passed","Sat Jun 22 14:14:29 GMT 2024","Sat Jun 22 14:14:29 GMT 2024","411","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with @ status",""
"passed","Sat Jun 22 14:14:30 GMT 2024","Sat Jun 22 14:14:32 GMT 2024","1642","","posts.spec.ts","Posts test","","","Delete post",""
"passed","Sat Jun 22 14:14:30 GMT 2024","Sat Jun 22 14:14:30 GMT 2024","368","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with женский gender",""
"passed","Sat Jun 22 14:14:32 GMT 2024","Sat Jun 22 14:14:33 GMT 2024","484","","users.spec.ts","Users test","","","Create user",""
"passed","Sat Jun 22 14:14:29 GMT 2024","Sat Jun 22 14:14:30 GMT 2024","1053","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with existing email",""
"passed","Sat Jun 22 14:14:29 GMT 2024","Sat Jun 22 14:14:30 GMT 2024","365","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with Alice gender",""
"passed","Sat Jun 22 14:14:29 GMT 2024","Sat Jun 22 14:14:29 GMT 2024","728","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with wrong email: @",""
"passed","Sat Jun 22 14:14:30 GMT 2024","Sat Jun 22 14:14:32 GMT 2024","1818","","posts.spec.ts","Posts test","","","Get post comments",""
"passed","Sat Jun 22 14:14:29 GMT 2024","Sat Jun 22 14:14:30 GMT 2024","388","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with @ gender",""
"passed","Sat Jun 22 14:14:28 GMT 2024","Sat Jun 22 14:14:29 GMT 2024","669","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with wrong email: Alice",""
"passed","Sat Jun 22 14:14:30 GMT 2024","Sat Jun 22 14:14:31 GMT 2024","450","","schemaValidations.spec.ts","Schema validation tests","","","Users schema validation",""
"passed","Sat Jun 22 14:14:29 GMT 2024","Sat Jun 22 14:14:30 GMT 2024","373","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with [object Object] status",""
